央视,#genre#
CCTV-1,http://183.215.102.57:8089/180000001001/00000001000000000007000000001243/main.m3u8
CCTV-1,http://112.17.40.140/PLTV/88888888/224/3221226527/index.m3u8
CCTV-2,http://183.215.102.57:8089/180000001001/00000001000000000008000000047431/main.m3u8
CCTV-2,http://112.17.40.140/PLTV/88888888/224/3221226468/index.m3u8
CCTV-3,http://183.215.102.57:8089/180000001001/00000001000000000008000000047432/main.m3u8
CCTV-3,http://112.17.40.140/PLTV/88888888/224/3221226431/index.m3u8
CCTV-3,http://newvideo.dangtutv.cn:8278/CCTVzongyi/playlist.m3u8
CCTV-4,http://183.215.102.57:8089/180000001001/00000001000000000008000000047433/main.m3u8
CCTV-4,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226314/1.m3u8
CCTV-5,http://183.215.102.57:8089/180000001001/00000001000000000008000000047434/main.m3u8
CCTV-5,http://112.17.40.140/PLTV/88888888/224/3221226562/index.m3u8
CCTV-5,http://112.17.40.6:80/PLTV/88888888/224/3221226400/index.m3u8
CCTV-5+,http://183.215.102.57:8089/180000001001/00000001000000000008000000047442/main.m3u8
CCTV-5+,http://112.17.40.6:80/PLTV/88888888/224/3221226166/index.m3u8
CCTV-6,http://183.215.102.57:8089/180000001001/00000001000000000008000000047435/main.m3u8
CCTV-6,http://112.17.40.140/PLTV/88888888/224/3221226433/index.m3u8
CCTV-7,http://183.215.102.57:8089/180000001001/00000001000000000008000000047436/main.m3u8
CCTV-7,http://112.17.40.140/PLTV/88888888/224/3221226122/index.m3u8
CCTV-8,http://183.215.102.57:8089/180000001001/00000001000000000008000000047437/main.m3u8
CCTV-8,http://112.17.40.140/PLTV/88888888/224/3221226330/index.m3u8
CCTV-9,http://183.215.102.57:8089/180000001001/00000001000000000008000000047438/main.m3u8
CCTV-9,http://112.17.40.140/PLTV/88888888/224/3221226561/index.m3u8
CCTV-10,http://183.215.102.57:8089/180000001001/00000001000000000008000000047439/main.m3u8
CCTV-10,http://112.17.40.140/PLTV/88888888/224/3221226472/index.m3u8 
CCTV-11,http://183.215.102.57:8089/180000001001/00000001000000000026000000446966/main.m3u8
CCTV-11,http://112.17.40.140/PLTV/88888888/224/3221226219/index.m3u8
CCTV-12,http://183.215.102.57:8089/180000001001/00000001000000000008000000047440/main.m3u8
CCTV-12,http://112.17.40.140/PLTV/88888888/224/3221226563/index.m3u8
CCTV-13,http://183.215.102.57:8089/180000001001/00000000000000020000000000182324/main.m3u8
CCTV-13,http://112.17.40.140/PLTV/88888888/224/3221226193/index.m3u8
CCTV-14,http://183.215.102.57:8089/180000001001/00000001000000000008000000047441/main.m3u8
CCTV-14,http://112.17.40.140/PLTV/88888888/224/3221226565/index.m3u8
CCTV-14,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226229/1.m3u8
CCTV-15,http://183.215.102.57:8089/180000001001/00000001000000000026000000446967/main.m3u8
CCTV-15,http://112.17.40.140/PLTV/88888888/224/3221226112/index.m3u8
CCTV-15,http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226333/1.m3u8
CCTV-17,http://183.215.102.57:8089/180000001001/00000001000000000025000000024152/main.m3u8
CCTV-17,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8
CCTV-4K,http://112.17.40.12/PLTV/88888888/224/3221226758/1.m3u8
Bestv4K,http://117.148.187.13/PLTV/88888888/224/3221226718/index.m3u8
纯享4K,http://112.50.243.8/PLTV/88888888/224/3221226825/1.m3u8
