湖南,#genre#
湖南卫视,http://183.215.102.57:8089/180000001001/00000001000000000007000000001242/main.m3u8
湖南卫视,http://39.134.242.92:80/180000001002/00000001000000000010000000040382/main.m3u8
湖南经视,http://183.215.102.57:8089/180000001001/00000001000000000002000000113182/main.m3u8
湖南经视,http://39.134.242.92:80/180000001002/00000000000000020000000000182567/main.m3u8
湖南都市,http://39.134.242.92:80/180000001002/00000001000000000007000000001249/main.m3u8
湖南都市,http://183.215.102.57:8089/180000001001/00000001000000000007000000001249/main.m3u8
湖南电视剧,http://183.215.102.57:8089/180000001001/00000001000000000007000000001245/main.m3u8
湖南电视剧,http://183.215.116.134:6610/180000001001/00000001000000000007000000001245/index.m3u8?
湖南电影,http://39.134.242.92:80/180000001002/00000001000000000007000000001246/main.m3u8
湖南电影,http://183.215.102.57:8089/180000001001/00000001000000000007000000001246/main.m3u8
湖南娱乐,http://183.215.116.134:6610/180000001001/00000001000000000007000000001248/index.m3u8?
湖南娱乐,http://183.215.102.57:8089/180000001001/00000001000000000007000000001248/main.m3u8
湖南金鹰纪实,http://183.215.102.57:8089/180000001001/00000001000000000016000000007228/main.m3u8
湖南公共,http://183.215.102.57:8089/180000001001/00000001000000000008000000047425/main.m3u8
湖南公共,http://183.215.116.134:6610/180000001001/00000001000000000008000000047425/index.m3u8?
湖南国际,http://183.215.102.57:8089/180000001001/00000001000000000008000000047426/main.m3u8
湖南国际,http://39.134.242.92:80/180000001002/00000001000000000008000000047426/main.m3u8
湖南金鹰卡通,http://39.134.242.92:80/180000001002/00000000000000020000000000182316/main.m3u8
湖南金鹰卡通,http://183.215.102.57:8089/180000001001/00000001000000000007000000001247/main.m3u8
湖南茶频道,http://112.17.40.140/PLTV/88888888/224/3221226744/index.m3u8
湖南教育,http://183.215.102.57:8089/180000001001/00000001000000000023000000196697/main.m3u8
湖南教育,http://39.134.242.92:80/180000001002/00000001000000000003000000104065/main.m3u8
湖南时尚频道,http://39.134.242.92:80/180000001002/00000001000000000008000000047428/main.m3u8
长沙政法,http://183.215.116.134:6610/180000001001/00000001000000000008000000047430/index.m3u8?
长沙新闻,http://39.134.13.38:6610/180000001001/00000001000000000008000000047429/index.m3u8?
长沙影视,http://35848.hlsplay.aodianyun.com/guangdianyun_35848/tv_channel_350.m3u8
株洲综合,http://vod.zzlknews.cn:40731/live/_definst_/zzzh/playlist.m3u8
湘潭综合,http://21084.liveplay.myqcloud.com/live/21084_13241b8296ee11e892905cb9018cf0d4.m3u8
娄底综合,http://218.77.102.118:1935/live/zonghe/playlist.m3u8
娄底公共,http://218.77.102.118:1935/live/gonggong/playlist.m3u8
张家界1台,http://stream.zjjrtv.com/zjjtv1/hd/live.m3u8
张家界2台,http://stream.zjjrtv.com/zjjtv2/hd/live.m3u8
醴陵综合,http://24tl.qingk.cn/live/llxwzh.flv
醴陵经视,http://24tl.qingk.cn/live/lljjsh.flv
攸县电视台,http://24tl.qingk.cn/live/yxxtv1.flv
