地区,#genre#
安徽I六安综合台,http://live.china-latv.com/channel1/sd/live.m3u8
安徽I铜陵综合台,http://dstpush1.retalltech.com/app/stream1.m3u8
安徽I铜陵公共台,http://dstpush1.retalltech.com/app/stream2.m3u8
安徽I六安公共台,http://live.china-latv.com/channel2/sd/live.m3u8
安徽I淮北公共台,http://live.0561rtv.cn/ggpd/hd/live.m3u8
安徽I淮北综合台,http://live.0561rtv.cn/xwzh/hd/live.m3u8
江苏I无锡综合台,http://live-wx.wifiwx.com/wxtv1/sd/live.m3u8
江苏I无锡都市台,http://live-wx.wifiwx.com/wxtv3/sd/live.m3u8
广东I佛山综合台,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_zhpd.m3u8
广东I佛山影视台,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_yspd.m3u8
广东I佛山公共台,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_ggpd.m3u8
广东I佛山顺德台,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_sdpd.m3u8
四川I达州综合台,http://m3u8.channellive.dzxw.net/cms/videos/nmip-media/channellive/channel35/playlist.m3u8
四川I巴中公共台,https://30814.hlsplay.aodianyun.com/lms_30814/tv_channel_247.m3u8
四川I达州公共台,http://m3u8.channellive.dzxw.net/cms/videos/nmip-media/channellive/channel36/playlist.m3u8
四川I攀枝花综合,http://zb.pzhgd.com:9091/live/xwzh.m3u8
四川I泸州综合台,http://file.weblz.com.cn:6066/cms/videos/nmip-media-dz/channellive/channel3/playlist.m3u8
四川I泸州公共台,http://file.weblz.com.cn:6066/cms/videos/nmip-media-dz/channellive/channel4/playlist.m3u8
四川I泸州科技台,http://file.weblz.com.cn:6066/cms/videos/nmip-media-dz/channellive/channel5/playlist.m3u8
山东I德州综合台,http://video.dztv.tv:1935/live/xwzh_gq/playlist.m3u8
山东I德州公共台,http://video.dztv.tv:1935/live/dzgg_gq/playlist.m3u8
山东I威海综合台,http://l2.weihai.tv:8081/hls/czv7gqQ091.m3u8
重庆I万州影视台,http://wanzhoulive.cbg.cn:8017/d4ceB1a/1000/live.m3u8
陕西I安康综合台,http://pili-live-hls.hsyapp.sobeylingyun.com/xjhsyapp2019/sxakzhpd.m3u8
陕西I西安新闻台,http://stream2.xiancity.cn/xatv1/sd/live.m3u8
陕西I西安白鸽台,http://stream2.xiancity.cn/xatv2/sd/live.m3u8
陕西I西安影视台,http://stream2.xiancity.cn/xatv4/sd/live.m3u8
陕西I西安丝路台,http://stream2.xiancity.cn/xatv5/sd/live.m3u8
福建I长乐电视台,http://35908.hlsplay.aodianyun.com/guangdianyun_35908/tv_channel_327.m3u8
