卫视,#genre#
冬奥纪实 HD,http://112.50.243.8/PLTV/88888888/224/3221225944/1.m3u8
湖南卫视 HD,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2000296203.m3u8
江苏卫视 HD,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2000295603.m3u8
浙江卫视 HD,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2000295503.m3u8
东方卫视 HD,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2000292403.m3u8
北京卫视 HD,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2000272103.m3u8
广东卫视 HD,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2000292703.m3u8
深圳卫视 HD,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2000292203.m3u8
天津卫视 HD,http://112.50.243.8/PLTV/88888888/224/3221225830/1.m3u8
安徽卫视 HD,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2000298003.m3u8
山东卫视 HD,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2000294803.m3u8
湖北卫视 HD,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2000294503.m3u8
辽宁卫视 HD,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2000281303.m3u8
重庆卫视 HD,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2000297803.m3u8
江西卫视 HD,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2000294103.m3u8
河北卫视 HD,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2000293403.m3u8
贵州卫视 HD,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2000293303.m3u8
四川卫视 HD,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2000295003.m3u8
河南卫视 HD,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2000296103.m3u8
广西卫视 HD,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2000294203.m3u8
吉林卫视 HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225753/1/index.m3u8
海南卫视 HD,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2000291503.m3u8
厦门卫视 HD,http://112.50.243.8/PLTV/88888888/224/3221226781/1.m3u8
东南卫视 HD,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2000292503.m3u8
海峡卫视 HD,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil
福建新闻 HD,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226116/10000100000000060000000002358068_0.smil
黑龙江卫视 HD,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2000293903.m3u8
陕西卫视,http://112.50.243.8/PLTV/88888888/224/3221225850/1.m3u8#http://120.204.20.147:80/tlivecloud-cdn.ysp.cctv.cn/2000294401.m3u8#http://144.48.240.144:2019/SunTv.php?name=Shan3XiTV#http://ivi.bupt.edu.cn/hls/sxtv.m3u8
山西卫视,http://112.50.243.8/PLTV/88888888/224/3221225839/1.m3u8#http://cctvalih5ca.v.myalicdn.com/wstv/shan1xi_2/index.m3u8#http://144.48.240.144:2019/SunTv.php?name=Shan1XiTV#http://ivi.bupt.edu.cn/hls/sxrtv.m3u8
甘肃卫视,http://112.50.243.8/PLTV/88888888/224/3221225845/1.m3u8#http://stream.gstv.com.cn/gsws/sd/live.m3u8#http://ivi.bupt.edu.cn/hls/gstv.m3u8
青海卫视,http://112.50.243.8/PLTV/88888888/224/3221225841/1.m3u8#http://120.204.20.147:80/tlivecloud-cdn.ysp.cctv.cn/2000294703.m3u8#http://144.48.240.144:2019/SunTv.php?name=QingHaiTV#http://ivi.bupt.edu.cn/hls/qhtv.m3u8
云南卫视,http://112.50.243.8/PLTV/88888888/224/3221225853/1.m3u8#http://cctvalih5ca.v.myalicdn.com/wstv/yunnan_2/index.m3u8#http://144.48.240.144:2019/SunTv.php?name=YunNanTV#http://ivi.bupt.edu.cn/hls/yntv.m3u8
宁夏卫视,http://112.50.243.8/PLTV/88888888/224/3221225849/1.m3u8#http://cctvalih5ca.v.myalicdn.com/wstv/ningxia_2/index.m3u8#http://144.48.240.144:2019/SunTv.php?name=NingXiaTV#http://ivi.bupt.edu.cn/hls/nxtv.m3u8
新疆卫视,http://112.50.243.8/PLTV/88888888/224/3221225852/1.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_chan_hls_se_idx=009&Provider_id=&Pcontent_id=index.m3u8#http://144.48.240.144:2019/SunTv.php?name=XinJiangTV#http://ivi.bupt.edu.cn/hls/xjtv.m3u8
